"ALU_NOVAMATRICULA","ALU_ANO_EVASA","ALU_PERIODO_EVASAO","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","CREDITOS","MAT_MEDIA_FINAL"
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,5
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109103,"Cálculo Diferencial e Integral I",4,3.8
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411167,"Programação I",4,5.3
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411174,"Introdução à Computação",4,5.4
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1307151,"Leitura e Produção de Textos",4,7.8
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411180,"Laboratório de Programação I",4,5.5
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109049,"Álgebra Linear I",4,4.4
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109113,"Matemática Discreta",4,2.2
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411168,"Programação II",4,5
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411170,"Teoria dos Grafos",2,5.6
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411181,"Laboratório de Programação II",4,7
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1305218,"Métodologia Científica",4,8.5
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109103,"Cálculo Diferencial e Integral I",4,3.1
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109049,"Álgebra Linear I",4,0
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109103,"Cálculo Diferencial e Integral I",4,5.3
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109113,"Matemática Discreta",4,5
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411172,"Estrutura de Dados e Algoritmos",4,3.2
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411179,"Lab. de Estrutura de Dados e Algoritmos",4,7
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1305219,"Direito e Cidadania",4,7.8
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411176,"Gerência da Informação",4,8.2
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1108089,"Fundamentos de Física Clássica",4,5.2
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109053,"Cálculo Diferencial e Integral II",4,0
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411171,"Teoria da Computação",4,3.8
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411172,"Estrutura de Dados e Algoritmos",4,3.7
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109049,"Álgebra Linear I",4,5.4
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109053,"Cálculo Diferencial e Integral II",4,3.2
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411171,"Teoria da Computação",4,5.6
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411172,"Estrutura de Dados e Algoritmos",4,5.6
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411178,"Sistemas de Informação I",4,7
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109053,"Cálculo Diferencial e Integral II",4,4
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411169,"Paradigmas de Ling. de Programação",4,2.1
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411173,"Lógica Matemática",4,5.9
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411193,"Banco de Dados I",4,3.6
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1305220,"Informática e Sociedade",2,9.2
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1109053,"Cálculo Diferencial e Integral II",4,5.2
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411169,"Paradigmas de Ling. de Programação",4,7.1
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411193,"Banco de Dados I",4,5.6
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411195,"Sistemas de Informação II",4,1.8
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1114107,"Probabilidade e Estatistica",4,1.7
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1108090,"Fundamentos de Física Moderna",4,7.7
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411187,"Análise e Técnica de Algoritmos",4,2.6
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411195,"Sistemas de Informação II",4,3.4
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411182,"Lab. de Org. e Arquitetura de Computadores",4,3.6
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1114107,"Probabilidade e Estatistica",4,3.6
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411175,"Org. e Arquitetura de Computadores I",4,4.6
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411195,"Sistemas de Informação II",4,5.4
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1114107,"Probabilidade e Estatistica",4,5.8
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411187,"Análise e Técnica de Algoritmos",4,7
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411194,"Banco de Dados II",4,2.8
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1114114,"Métodos Estatisticos",4,5
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411175,"Org. e Arquitetura de Computadores I",4,5.4
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411177,"Engenharia de Software I",4,7.1
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411182,"Lab. de Org. e Arquitetura de Computadores",4,8.5
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411194,"Banco de Dados II",4,6.8
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411188,"Métodos e Software Numéricos",4,7
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411183,"Laboratório de Engenharia de Software",2,7.8
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411189,"Compiladores",4,5.5
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411192,"Sistemas Operacionais",4,5
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411185,"Projeto em Computação I",4,7
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411190,"Redes de Computadores",4,5.4
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411197,"Aval. de Desempenho de Sistemas Discretos",4,7.9
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411184,"Lab. de Intercon. de Redes de Computadores",2,7.1
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411186,"Projeto em Computação II",6,8.6
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411191,"Interconexão de Redes de Computadores",4,7.1
"3b3c1d5f7a47df614511c13e0c2a7f5a",2014,1,1411196,"Inteligência Artificial I",4,7.1
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,7.4
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1109103,"Cálculo Diferencial e Integral I",4,7
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411167,"Programação I",4,7.4
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411174,"Introdução à Computação",4,8.4
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411180,"Laboratório de Programação I",4,8.7
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1307151,"Leitura e Produção de Textos",4,7
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1108089,"Fundamentos de Física Clássica",4,8.2
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1109053,"Cálculo Diferencial e Integral II",4,7.1
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1109113,"Matemática Discreta",4,7
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411168,"Programação II",4,8.5
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411181,"Laboratório de Programação II",4,8.8
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1305218,"Métodologia Científica",4,6.2
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411170,"Teoria dos Grafos",2,7
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1109049,"Álgebra Linear I",4,7.6
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1108090,"Fundamentos de Física Moderna",4,7.6
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1114107,"Probabilidade e Estatistica",4,2.9
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411171,"Teoria da Computação",4,7
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411172,"Estrutura de Dados e Algoritmos",4,7
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411176,"Gerência da Informação",4,8
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411179,"Lab. de Estrutura de Dados e Algoritmos",4,7.4
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1114107,"Probabilidade e Estatistica",4,8.8
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1114114,"Métodos Estatisticos",4,7.3
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411169,"Paradigmas de Ling. de Programação",4,5.7
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411173,"Lógica Matemática",4,7.9
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411175,"Org. e Arquitetura de Computadores I",4,9
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411177,"Engenharia de Software I",4,7
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411178,"Sistemas de Informação I",4,9.1
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411182,"Lab. de Org. e Arquitetura de Computadores",4,8.6
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411187,"Análise e Técnica de Algoritmos",4,7
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411192,"Sistemas Operacionais",4,7.4
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411193,"Banco de Dados I",4,7.3
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411195,"Sistemas de Informação II",4,5.4
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1305220,"Informática e Sociedade",2,7
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411183,"Laboratório de Engenharia de Software",2,8.6
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411189,"Compiladores",4,7.5
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411190,"Redes de Computadores",4,7.8
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411194,"Banco de Dados II",4,6
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1305219,"Direito e Cidadania",4,9
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411184,"Lab. de Intercon. de Redes de Computadores",2,7.3
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411185,"Projeto em Computação I",4,8.5
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411191,"Interconexão de Redes de Computadores",4,7.3
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411197,"Aval. de Desempenho de Sistemas Discretos",4,7.6
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411188,"Métodos e Software Numéricos",4,5.5
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411186,"Projeto em Computação II",6,8.4
"e12312ce5a4289776ac4bb6e39fbfc2a",2014,1,1411196,"Inteligência Artificial I",4,8.3
"ca9780754c50207a7302041976493667",2014,2,1109035,"Álgebra Vetorial e Geometria Analítica",4,5
"ca9780754c50207a7302041976493667",2014,2,1109103,"Cálculo Diferencial e Integral I",4,3.3
"ca9780754c50207a7302041976493667",2014,2,1411167,"Programação I",4,7.5
"ca9780754c50207a7302041976493667",2014,2,1411174,"Introdução à Computação",4,8.7
"ca9780754c50207a7302041976493667",2014,2,1411180,"Laboratório de Programação I",4,7.2
"ca9780754c50207a7302041976493667",2014,2,1307151,"Leitura e Produção de Textos",4,7.1
"ca9780754c50207a7302041976493667",2014,2,1109049,"Álgebra Linear I",4,8.2
"ca9780754c50207a7302041976493667",2014,2,1109103,"Cálculo Diferencial e Integral I",4,7.4
"ca9780754c50207a7302041976493667",2014,2,1109113,"Matemática Discreta",4,7.6
"ca9780754c50207a7302041976493667",2014,2,1411168,"Programação II",4,8.8
"ca9780754c50207a7302041976493667",2014,2,1411170,"Teoria dos Grafos",2,8.6
"ca9780754c50207a7302041976493667",2014,2,1411181,"Laboratório de Programação II",4,9
"ca9780754c50207a7302041976493667",2014,2,1109053,"Cálculo Diferencial e Integral II",4,8.1
"ca9780754c50207a7302041976493667",2014,2,1411172,"Estrutura de Dados e Algoritmos",4,6.8
"ca9780754c50207a7302041976493667",2014,2,1411176,"Gerência da Informação",4,8.9
"ca9780754c50207a7302041976493667",2014,2,1411179,"Lab. de Estrutura de Dados e Algoritmos",4,8.4
"ca9780754c50207a7302041976493667",2014,2,1305219,"Direito e Cidadania",4,10
"ca9780754c50207a7302041976493667",2014,2,1108089,"Fundamentos de Física Clássica",4,8.4
"ca9780754c50207a7302041976493667",2014,2,1108090,"Fundamentos de Física Moderna",4,9.8
"ca9780754c50207a7302041976493667",2014,2,1114107,"Probabilidade e Estatistica",4,6.2
"ca9780754c50207a7302041976493667",2014,2,1411178,"Sistemas de Informação I",4,8.4
"ca9780754c50207a7302041976493667",2014,2,1411171,"Teoria da Computação",4,8.1
"ca9780754c50207a7302041976493667",2014,2,1114114,"Métodos Estatisticos",4,8.7
"ca9780754c50207a7302041976493667",2014,2,1411169,"Paradigmas de Ling. de Programação",4,8.2
"ca9780754c50207a7302041976493667",2014,2,1411173,"Lógica Matemática",4,8.5
"ca9780754c50207a7302041976493667",2014,2,1411175,"Org. e Arquitetura de Computadores I",4,8.7
"ca9780754c50207a7302041976493667",2014,2,1411177,"Engenharia de Software I",4,9.8
"ca9780754c50207a7302041976493667",2014,2,1411182,"Lab. de Org. e Arquitetura de Computadores",4,8.8
"ca9780754c50207a7302041976493667",2014,2,1411183,"Laboratório de Engenharia de Software",2,8.4
"ca9780754c50207a7302041976493667",2014,2,1411187,"Análise e Técnica de Algoritmos",4,7.3
"ca9780754c50207a7302041976493667",2014,2,1411190,"Redes de Computadores",4,7.9
"ca9780754c50207a7302041976493667",2014,2,1411193,"Banco de Dados I",4,NA
"ca9780754c50207a7302041976493667",2014,2,1411195,"Sistemas de Informação II",4,7.7
"ca9780754c50207a7302041976493667",2014,2,1411192,"Sistemas Operacionais",4,NA
"ca9780754c50207a7302041976493667",2014,2,1411193,"Banco de Dados I",4,NA
"ca9780754c50207a7302041976493667",2014,2,1305218,"Métodologia Científica",4,9.5
"ca9780754c50207a7302041976493667",2014,2,1411184,"Lab. de Intercon. de Redes de Computadores",2,7
"ca9780754c50207a7302041976493667",2014,2,1411188,"Métodos e Software Numéricos",4,7
"ca9780754c50207a7302041976493667",2014,2,1411189,"Compiladores",4,8.2
"ca9780754c50207a7302041976493667",2014,2,1411191,"Interconexão de Redes de Computadores",4,7
"ca9780754c50207a7302041976493667",2014,2,1305220,"Informática e Sociedade",2,8.7
"ca9780754c50207a7302041976493667",2014,2,1411194,"Banco de Dados II",4,7.3
"ca9780754c50207a7302041976493667",2014,2,1411196,"Inteligência Artificial I",4,NA
"ca9780754c50207a7302041976493667",2014,2,1411185,"Projeto em Computação I",4,9.3
"ca9780754c50207a7302041976493667",2014,2,1411186,"Projeto em Computação II",6,10
"ca9780754c50207a7302041976493667",2014,2,1411197,"Aval. de Desempenho de Sistemas Discretos",4,7.8
"765d5655477526e7ed8de288f1345fd5",2014,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,5.9
"765d5655477526e7ed8de288f1345fd5",2014,1,1109103,"Cálculo Diferencial e Integral I",4,5
"765d5655477526e7ed8de288f1345fd5",2014,1,1411167,"Programação I",4,7.7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411174,"Introdução à Computação",4,7.7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411180,"Laboratório de Programação I",4,3.6
"765d5655477526e7ed8de288f1345fd5",2014,1,1307151,"Leitura e Produção de Textos",4,7.3
"765d5655477526e7ed8de288f1345fd5",2014,1,1108089,"Fundamentos de Física Clássica",4,7
"765d5655477526e7ed8de288f1345fd5",2014,1,1109053,"Cálculo Diferencial e Integral II",4,6.2
"765d5655477526e7ed8de288f1345fd5",2014,1,1305218,"Métodologia Científica",4,8.7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411176,"Gerência da Informação",4,8.2
"765d5655477526e7ed8de288f1345fd5",2014,1,1411180,"Laboratório de Programação I",4,8
"765d5655477526e7ed8de288f1345fd5",2014,1,1109049,"Álgebra Linear I",4,6.1
"765d5655477526e7ed8de288f1345fd5",2014,1,1109113,"Matemática Discreta",4,7.1
"765d5655477526e7ed8de288f1345fd5",2014,1,1411168,"Programação II",4,8
"765d5655477526e7ed8de288f1345fd5",2014,1,1411170,"Teoria dos Grafos",2,5
"765d5655477526e7ed8de288f1345fd5",2014,1,1411181,"Laboratório de Programação II",4,9.2
"765d5655477526e7ed8de288f1345fd5",2014,1,1305220,"Informática e Sociedade",2,8.4
"765d5655477526e7ed8de288f1345fd5",2014,1,1108090,"Fundamentos de Física Moderna",4,9.3
"765d5655477526e7ed8de288f1345fd5",2014,1,1114107,"Probabilidade e Estatistica",4,5.9
"765d5655477526e7ed8de288f1345fd5",2014,1,1411171,"Teoria da Computação",4,7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411172,"Estrutura de Dados e Algoritmos",4,7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411179,"Lab. de Estrutura de Dados e Algoritmos",4,7.6
"765d5655477526e7ed8de288f1345fd5",2014,1,1305219,"Direito e Cidadania",4,7.4
"765d5655477526e7ed8de288f1345fd5",2014,1,1114114,"Métodos Estatisticos",4,7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411169,"Paradigmas de Ling. de Programação",4,8.9
"765d5655477526e7ed8de288f1345fd5",2014,1,1411173,"Lógica Matemática",4,7.5
"765d5655477526e7ed8de288f1345fd5",2014,1,1411175,"Org. e Arquitetura de Computadores I",4,7.9
"765d5655477526e7ed8de288f1345fd5",2014,1,1411178,"Sistemas de Informação I",4,7.9
"765d5655477526e7ed8de288f1345fd5",2014,1,1411182,"Lab. de Org. e Arquitetura de Computadores",4,8.3
"765d5655477526e7ed8de288f1345fd5",2014,1,1411177,"Engenharia de Software I",4,7.8
"765d5655477526e7ed8de288f1345fd5",2014,1,1411187,"Análise e Técnica de Algoritmos",4,7.9
"765d5655477526e7ed8de288f1345fd5",2014,1,1411190,"Redes de Computadores",4,7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411193,"Banco de Dados I",4,7.7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411183,"Laboratório de Engenharia de Software",2,8.3
"765d5655477526e7ed8de288f1345fd5",2014,1,1411184,"Lab. de Intercon. de Redes de Computadores",2,7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411191,"Interconexão de Redes de Computadores",4,7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411192,"Sistemas Operacionais",4,7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411195,"Sistemas de Informação II",4,7.3
"765d5655477526e7ed8de288f1345fd5",2014,1,1411194,"Banco de Dados II",4,5.8
"765d5655477526e7ed8de288f1345fd5",2014,1,1411196,"Inteligência Artificial I",4,NA
"765d5655477526e7ed8de288f1345fd5",2014,1,1411188,"Métodos e Software Numéricos",4,7.3
"765d5655477526e7ed8de288f1345fd5",2014,1,1411189,"Compiladores",4,6.4
"765d5655477526e7ed8de288f1345fd5",2014,1,1411185,"Projeto em Computação I",4,7.1
"765d5655477526e7ed8de288f1345fd5",2014,1,1411186,"Projeto em Computação II",6,8.6
"765d5655477526e7ed8de288f1345fd5",2014,1,1411196,"Inteligência Artificial I",4,7
"765d5655477526e7ed8de288f1345fd5",2014,1,1411197,"Aval. de Desempenho de Sistemas Discretos",4,8.3
"ee6423b901f12fce3645c241f9f659f4",2014,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,9
"ee6423b901f12fce3645c241f9f659f4",2014,1,1109103,"Cálculo Diferencial e Integral I",4,9.3
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411167,"Programação I",4,7.6
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411174,"Introdução à Computação",4,9.1
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411180,"Laboratório de Programação I",4,9
"ee6423b901f12fce3645c241f9f659f4",2014,1,1307151,"Leitura e Produção de Textos",4,7.3
"ee6423b901f12fce3645c241f9f659f4",2014,1,1108089,"Fundamentos de Física Clássica",4,9
"ee6423b901f12fce3645c241f9f659f4",2014,1,1109053,"Cálculo Diferencial e Integral II",4,7.2
"ee6423b901f12fce3645c241f9f659f4",2014,1,1109113,"Matemática Discreta",4,7.7
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411168,"Programação II",4,9.3
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411181,"Laboratório de Programação II",4,8.9
"ee6423b901f12fce3645c241f9f659f4",2014,1,1108090,"Fundamentos de Física Moderna",4,7.9
"ee6423b901f12fce3645c241f9f659f4",2014,1,1109049,"Álgebra Linear I",4,7
"ee6423b901f12fce3645c241f9f659f4",2014,1,1114107,"Probabilidade e Estatistica",4,3.3
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411171,"Teoria da Computação",4,7.2
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411172,"Estrutura de Dados e Algoritmos",4,7.2
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411179,"Lab. de Estrutura de Dados e Algoritmos",4,8.9
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411170,"Teoria dos Grafos",2,7.5
"ee6423b901f12fce3645c241f9f659f4",2014,1,1305218,"Métodologia Científica",4,7
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411176,"Gerência da Informação",4,8
"ee6423b901f12fce3645c241f9f659f4",2014,1,1114107,"Probabilidade e Estatistica",4,7.2
"ee6423b901f12fce3645c241f9f659f4",2014,1,1114114,"Métodos Estatisticos",4,6.4
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411173,"Lógica Matemática",4,5
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411175,"Org. e Arquitetura de Computadores I",4,7.2
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411178,"Sistemas de Informação I",4,7.5
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411182,"Lab. de Org. e Arquitetura de Computadores",4,7.1
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411169,"Paradigmas de Ling. de Programação",4,5
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411187,"Análise e Técnica de Algoritmos",4,7.1
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411193,"Banco de Dados I",4,7.2
"ee6423b901f12fce3645c241f9f659f4",2014,1,1305220,"Informática e Sociedade",2,7
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411192,"Sistemas Operacionais",4,7.3
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411190,"Redes de Computadores",4,8.3
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411195,"Sistemas de Informação II",4,5.2
"ee6423b901f12fce3645c241f9f659f4",2014,1,1305219,"Direito e Cidadania",4,9.8
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411177,"Engenharia de Software I",4,7.1
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411183,"Laboratório de Engenharia de Software",2,9.4
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411184,"Lab. de Intercon. de Redes de Computadores",2,7.2
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411191,"Interconexão de Redes de Computadores",4,7.2
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411194,"Banco de Dados II",4,6.8
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411197,"Aval. de Desempenho de Sistemas Discretos",4,7.6
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411185,"Projeto em Computação I",4,8.7
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411188,"Métodos e Software Numéricos",4,8.5
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411189,"Compiladores",4,5.3
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411196,"Inteligência Artificial I",4,9.1
"ee6423b901f12fce3645c241f9f659f4",2014,1,1411186,"Projeto em Computação II",6,8.4
"b050b32472d3681f701bbc20fdd78872",2014,2,1109035,"Álgebra Vetorial e Geometria Analítica",4,5
"b050b32472d3681f701bbc20fdd78872",2014,2,1109103,"Cálculo Diferencial e Integral I",4,5.2
"b050b32472d3681f701bbc20fdd78872",2014,2,1411167,"Programação I",4,7
"b050b32472d3681f701bbc20fdd78872",2014,2,1411174,"Introdução à Computação",4,7.2
"b050b32472d3681f701bbc20fdd78872",2014,2,1411180,"Laboratório de Programação I",4,7.8
"b050b32472d3681f701bbc20fdd78872",2014,2,1307151,"Leitura e Produção de Textos",4,7.1
"b050b32472d3681f701bbc20fdd78872",2014,2,1108089,"Fundamentos de Física Clássica",4,5.2
"b050b32472d3681f701bbc20fdd78872",2014,2,1109053,"Cálculo Diferencial e Integral II",4,2.3
"b050b32472d3681f701bbc20fdd78872",2014,2,1109113,"Matemática Discreta",4,5.1
