matricula,Cálculo1,Vetorial,LPT,P1,IC,LP1,Cálculo2,Discreta,P2,Grafos,Fís.Clássica,LP2,cra
066a1b8f51616bc9f7cf392aec12df2c,7,7,5.2,5.4,7.9,6.4,5,5.1,6.4,7.1,7,7.1,6.790804597701149
07e605cabb25fcd348569d15324433cc,7,7,7.2,7.9,8.7,7.7,6.5,7.9,8.7,6.5,7.2,9,7.230337078651686
1298de387b2af5489ce432fe854ae0f7,7.3,5,8.3,8.1,7,7.4,5,5.9,7.3,5.6,5,7.1,6.873626373626373
1471a43df7d59a219ad739462d791410,7,6.8,6.4,7,8.6,8.2,6.3,8,7.9,5.4,9,8.9,7.444827586206897
25f50af45fa0065a73077d8d047a7cd1,7.8,7.4,7,7,8.7,7.1,7.3,8.2,8.1,7.5,7.4,8,7.9541176470588235
3a06055e79bcd8fd30eead8121688166,8.6,8,8.8,5.5,7.2,7.2,6.3,6.4,7.1,7.1,7.3,5.1,7.2
3b3c1d5f7a47df614511c13e0c2a7f5a,5.3,5,7.8,5.3,5.4,5.5,5.2,5,5,5.6,5.2,7,5.276377952755905
423defededd609f5f775cf9e995863e0,5.7,5.4,8.8,6,7.2,7.7,5.5,5,7,7.2,7,5.6,6.689411764705882
43b25665042b9506427914fb61793119,5.3,5,7,7.3,5.9,7,5.1,7.9,5.9,7.6,7.5,6.7,6.712941176470588
4fe128ce3d81f350a013b8961c224ca9,7.7,6.2,8,8.1,7.1,8.5,5.3,5,8.4,7.8,5.5,7.9,6.760439560439561
601da0d3674368f0771b5db28fd318ad,7.8,8.3,8,9.7,10,9.8,6.2,7.4,8.9,8.5,7.2,8.9,7.721176470588235
6103d1d2df97f43be74fec10ce553abf,6.5,6.3,7.5,7.5,7.8,7.7,7.3,6.2,8.9,7.5,7,8.9,7.445977011494253
765d5655477526e7ed8de288f1345fd5,5,5.9,7.3,7.7,7.7,8,6.2,7.1,8,5,7,9.2,7.316091954022989
7ef43ad9fbfe0b9703daf664cf938650,6.2,5.3,5.4,5.4,5.7,5.1,6,7.8,6.4,7.4,7.7,7.8,6.103296703296703
810924c3ffaa9f9888fa58a7a3f9a33b,6.1,5.7,7,7.4,7.6,8.9,5.1,7,8.5,7,7.1,9,6.846067415730337
a4bb6242ddc9d577a78c18846cc3f074,7.2,6.8,7.1,7,5.2,7,5.4,5.4,7,7,7.2,7.3,6.971264367816092
a5d259ee87132591aea217a6731b81db,7,7,9.2,7.6,8.8,7.7,7.3,8.5,9,8.7,7.8,9.6,8.485882352941175
aa153d763625a7eca0445f18025c9660,7,6.6,7,8.3,7.6,7.8,6.2,5.2,9.1,7.9,5,9.4,7.596551724137931
b050b32472d3681f701bbc20fdd78872,5.2,5,7.1,7,7.2,7.8,7.3,5.1,7.4,7.3,5.2,8.6,7.3839080459770114
b287908b64caf7cfd246a42d1e27a945,9.3,7.1,7.5,7.8,7,7.7,6.3,7.3,7.4,7.4,5.1,7,7.238461538461539
b41d2f7f5f7586de56814c273fe9b839,7.2,7.7,7.6,7.5,8.3,7.6,5.3,8.1,8.8,9.7,6.1,7.1,7.9399999999999995
bc2836d6ffe5c75765d427fb3fc81dab,5.6,5.6,6.7,7,8.4,7.7,5.9,6.8,7.4,5.9,7.4,7,6.7314606741573035
c0f877861a301d013fe39e7c1521825c,6.1,7.4,7.2,5.1,8.3,5,5,7.7,6.6,5.6,8.2,7,6.552941176470588
c30277c5649769fee3ffdba05ca3e8eb,7,7,7.3,8.5,8.4,8.9,6.4,6.4,8.2,7.3,7.3,8.2,7.497802197802197
ca9780754c50207a7302041976493667,7.4,5,7.1,7.5,8.7,7.2,8.1,7.6,8.8,8.6,8.4,9,8.048148148148147
dbb2ad522c8c692e746ff3acbe3974dd,7.5,7.7,7.2,7,8.5,7.9,7.6,8.2,9.4,7.6,8.3,9.5,8.161176470588236
e0555fa1ba77f354307d2a09bc1a0d2d,5.3,5,7.8,7.5,7,7.4,5.5,7.4,7.4,8.3,7,8,7.064705882352941
e12312ce5a4289776ac4bb6e39fbfc2a,7,7.4,7,7.4,8.4,8.7,7.1,7,8.5,7,8.2,8.8,7.4655172413793105
ee3d9477b624b8ccdfb43c60e7b5f216,5,8.2,5,6.5,6.3,7.7,5.5,5.4,7.7,5.5,5.2,9,5.601869158878505
ee6423b901f12fce3645c241f9f659f4,9.3,9,7.3,7.6,9.1,9,7.2,7.7,9.3,7.5,9,8.9,7.555172413793103
f5d50bbc167b67b1a957be226455cf35,7,5.1,8.5,5.6,8.2,5,5.1,5.7,8.4,8.5,7.1,8.1,6.708888888888889
f6b5ed2f758f6f8af2837075ae62e179,9.2,10,8,8.2,7.5,7.6,6.8,6.6,8.4,5.9,8.9,8.6,7.731034482758621
fbee4c39040ef3a4ce7ccd4e3d90e3d0,7.5,6.1,7.8,7.9,7.2,8,5,5.5,7.9,8.3,5.7,8,7.257471264367815
